Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"ABSOLUTELY DOYEN (IRE)",2020,GELDING,"DOYEN (IRE)","DUFFYS PRESENT (IRE)","Paul Nicholls",,,,,,,,,,135,,
"ABSTRACT (IRE)",2018,GELDING,"SEA THE STARS (IRE)","SENSE OF PURPOSE (IRE)",,41,,,,,,,,,,,
"ABU ROYAL (IRE)",2020,GELDING,"DARK ANGEL (IRE)","SPESIALTA (GB)","L J Morgan",46,,,,,,,,,,,
"ABUNDANT (IRE)",2023,GELDING,"LUCKY VEGA (IRE)","EMRELIYA (IRE)","Tom Ward",80,,,,,,,,,,,
"ACCADEMIA (GB)",2023,FILLY,"ST MARK'S BASILICA (FR)","UMNIYAH (IRE)","Ed Walker",78,,,,,,,,,,,
"ACCENTUATE (GB)",2022,GELDING,"SEA THE MOON (GER)","FLY (GB)","Tim Easterby",89,,,,,,,,,,,
"ACCLAIMED FREEDOM (GB)",2023,GELDING,"ACLAIM (IRE)","FREEDOM SPIRIT (GB)","George Scott",73,,,,,,,,,,,
"ACCLAMATION STAR (GB)",2024,FILLY,"ACCLAMATION (GB)","ISOLE CANARIE (IRE)","James Owen",94,,,,,,,,,,,
"ACCOMMODATION (IRE)",2023,FILLY,"PALACE PIER (GB)","ACCOMMODATE (IRE)","Stuart Williams",48,,,,,,,,,,,
"ACCORDING TO MARK (IRE)",2023,GELDING,"ST MARK'S BASILICA (FR)","MAIMARA (FR)","Edward Bethell",82,,,,,,,,,,,
"ACCREDIT (GB)",2023,COLT,"DUBAWI (IRE)","ENTITLE (GB)","John & Thady Gosden",99,new,,,,,,,,,,
"ACCRUAL (GB)",2021,GELDING,"PROFITABLE (IRE)","ALBERTINE ROSE (GB)","Ruth Carr",79,,,,,,,,,,,
"ACE OF SPADES (FR)",2019,GELDING,"DINK (FR)","ALINGA'S LASS (IRE)",,,,,,,,,,,138,,
"ACES WILD (IRE)",2019,GELDING,"DANDY MAN (IRE)","FASHION CENTRAL (GB)","Adrian Wintle",80,,,,,,,,,,,
"ACHILLE DES ROCS (FR)",2019,GELDING,"COASTAL PATH (GB)","CYTI ROSE (FR)","L J Morgan",,,,,,,96,,,96,,
"ACHNAMARA (GB)",2019,GELDING,"KODIAC (GB)","ALBAMARA (GB)",,49,,,,,,,,,91,,
"ACRISIUS (GB)",2022,GELDING,"ARDAD (IRE)","AETNA (GB)","Michael & David Easterby",75,,,,,,,,,,,
"ACROSS EARTH (IRE)",2021,GELDING,"GOLDEN HORN (GB)","WAR NO MORE (USA)","Gary & Josh Moore",77,,,,,,,,,117,,
"ACT OF AUTHORITY (FR)",2018,GELDING,"AUTHORIZED (IRE)","LEAH CLAIRE (IRE)","Olly Murphy",,,,,,,,,,135,,
"ACT OF HONOR (GB)",2023,GELDING,"IFFRAAJ (GB)","SUBAANA (IRE)",,46,,,,,,,,,,,
"ACT OF INNOCENCE (IRE)",2020,GELDING,"MY DREAM BOAT (IRE)","TUB OF HARTE'S (IRE)","Nicky Henderson",,,,,,,,,,149,,
"ACT OF KINDNESS (GB)",2023,FILLY,"SIYOUNI (FR)","SHAMBOLIC (IRE)","Charlie Appleby",98,,,,,,,,,,,
"ACT OF VIOLENCE (GB)",2021,GELDING,"OUTSTRIP (GB)","BACALL (GB)","Tony Carroll",62,,,,,,,,,,,
"ACTING LADY (IRE)",2024,FILLY,"DARK ANGEL (IRE)","IDEAL BEAUTY (IRE)","Charlie Appleby",82,new,,,,,,,,,,
"ACTION PACT (GB)",2021,GELDING,"GOLDEN HORN (GB)","AMERICA MON AMIE (USA)","Michael & David Easterby",66,,,,,,,,,,,
"ACTION REACTION (GB)",2023,FILLY,"MASAR (IRE)","PERFECT SHOWDANCE (GB)",,48,,,,,,,,,,,
"ACTIVIST (FR)",2019,GELDING,"IFFRAAJ (GB)","ABOVE THE CLOUDS (FR)","David Pipe",,,,,,,,,,105,,
"ADA ROSE (GB)",2023,FILLY,"SHOWCASING (GB)","MESSALINA (IRE)","Kevin Philippart de Foy",57,,,,,,,,,,,
"ADAAY DANCING (GB)",2021,FILLY,"ADAAY (IRE)","DANCING STORM (GB)","Max Comley",,,,,,,,,,79,,
"ADAAY OF SCARLETT (IRE)",2024,COLT,"MEHMAS (IRE)","ADAAY TO REMEMBER (GB)","Hugo Palmer",106,,,,,,,,,,,
"ADACE (GB)",2018,FILLY,"ADAAY (IRE)","MARJONG (GB)",,53,,,,,,,,,,,
"ADALIDA (GB)",2023,FILLY,"ARDAD (IRE)","SQUELCH (GB)","Stuart Williams",73,,,,,,,,,,,
"ADALO (GER)",2023,GELDING,"ISFAHAN (GER)","ADALEA (GB)","William Haggas",65,-1,collateral,,,,,,,,,
"ADAMLYI (GB)",2023,COLT,"KINGMAN (GB)","MAJMU (AUS)","William Haggas",79,,,,,,,,,,,
