Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"DREAMS ADOZEN (FR)",2020,FILLY,"KINGMAN (GB)","FEREVIA (IRE)","James Owen",74,,,,,,,,,,,
"DREAMS GALORE (IRE)",2024,FILLY,"HAVANA GREY (GB)","ARE WE DREAMING (IRE)","Ollie Sangster",71,+7,,,,,,,,,,
"DRESSEDTOIMPRESS (IRE)",2016,GELDING,"SHIROCCO (GER)","ANNA'S SLIPPER (IRE)","Miss Joanne Murphy",,,,,,,112,,,,,
"DRIFTS AWAY (GB)",2021,GELDING,"ZOUSTAR (AUS)","GOLDEN SPELL (GB)","T. J. Kent",81,,,,,,,,,,,
"DRISH SAMPHIRE (IRE)",2022,FILLY,"SOLDIER'S CALL (GB)","ROCK SAMPHIRE (IRE)","Lawrence Mullaney",50,,,,,,,,,,,
"DRIVING MISS D'AZY (GB)",2021,FILLY,"JACK HOBBS (GB)","AMAZING D'AZY (IRE)",,,,,,,,,,,84,,
"DROMBEG LAD (GB)",2020,GELDING,"LINDA'S LAD (GB)","DROMBEG WEST (GB)","Alex Hales",,,,,,,,,,109,,
"DROMLAC JURY (IRE)",2019,FILLY,"JUKEBOX JURY (IRE)","LADY DROMLAC (IRE)",,,,,,,,94,,,,,
"DROP KICK (IRE)",2021,GELDING,"WINGS OF EAGLES (FR)","NATASHA ROSTOVA (GB)","Mark Walford",,,,,,,,,,95,,
"DROPEMATTHESTATION (GB)",2020,GELDING,"FRONTIERSMAN (GB)","LA CREOLE (FR)","Ben Pauling",,,,,,,,,,119,,
"DRUM BAY (GB)",2024,COLT,"NEW BAY (GB)","CHAMADE (GB)","Ralph Beckett",79,new,,,,,,,,,,
"DRUM MAJOR (IRE)",2024,COLT,"INVINCIBLE ARMY (IRE)","LADY HEARTBEAT (GB)","William Muir & Chris Grassick",51,,,,,,,,,,,
"DRUMCONDRA (IRE)",2022,GELDING,"SHOWCASING (GB)","FOXY LOXY (IRE)",,54,,,,,,,,,,,
"DRUMHELLER (IRE)",2019,GELDING,"ELUSIVE PIMPERNEL (USA)","POINT THE TOES (IRE)",,,,,,,,80,,,,,
"DRUMSTICK (GB)",2021,GELDING,"LAND FORCE (IRE)","HUMDRUM (GB)","Fergal O'Brien",69,,,,,,,,,,,
"DRYBURGH (IRE)",2023,GELDING,"NEW BAY (GB)","JO JO AIR (USA)","Oli Rix",75,,,,,,,,,,,
"DRYMEE (GB)",2023,GELDING,"LOPE Y FERNANDEZ (IRE)","DAME HELEN (GB)","James Fanshawe",77,,,,,,,,,,,
"DUBAI BEACH (IRE)",2021,FILLY,"BLUE POINT (IRE)","FIRE BLAZE (IRE)","Saeed bin Suroor",104,,,,,,,,,,,
"DUBAI BLING (IRE)",2022,GELDING,"DARK ANGEL (IRE)","MILLICENT FAWCETT (GB)","Hugo Palmer",104,,,,,,,,,,,
"DUBAI CHAMPION (IRE)",2024,COLT,"PERSIAN FORCE (IRE)","SUNDIATA (GB)","Ben Haslam",87,,,,,,,,,,,
"DUBAI CHARM (IRE)",2024,FILLY,"BLACKBEARD (IRE)","ARABIC CHARM (IRE)","Richard Hughes",82,,,,,,,,,,,
"DUBAI DAYS (IRE)",2014,GELDING,"DUBAI DESTINATION (USA)","COMERAGH GIRL (IRE)","N. W. Alexander",,,,,,,124,,,,,
"DUBAI FUTURE (GB)",2016,GELDING,"DUBAWI (IRE)","ANJAZ (USA)","Saeed bin Suroor",113,,,,,,,,,,,
"DUBAI HARBOUR (GB)",2020,GELDING,"INVINCIBLE SPIRIT (IRE)","ASANTA SANA (IRE)","Pat Phelan",45,-2,,,,,,,,,,
"DUBAI HONOUR (IRE)",2018,GELDING,"PRIDE OF DUBAI (AUS)","MONDELICE (GB)","William Haggas",117,-1,,,,,,,,,,
"DUBAI IMMO (IRE)",2019,GELDING,"THE GURKHA (IRE)","BRIGHT GLOW (GB)","Paddy Butler",43,-1,,,,,,,,,,
"DUBAI MAGIC (IRE)",2022,FILLY,"SHOWCASING (GB)","EVOLICA (GB)",,52,,,,,,,,,,,
"DUBAI TREASURE (IRE)",2021,FILLY,"EXCEED AND EXCEL (AUS)","JUNEAU (IRE)",,104,,,,,,,,,,,
"DUBAI VENTURE (IRE)",2021,GELDING,"MASAR (IRE)","DUBAI ONE (IRE)","Tina Jackson",57,,,,,,,,,,,
"DUBAWI TIME (GB)",2021,GELDING,"DUBAWI (IRE)","CHANTERELLE (FR)","Micky Hammond",49,,,,,,,,,,,
"DUBLIN BAY (IRE)",2023,GELDING,"NEW BAY (GB)","LA FIAMMA (USA)","Ollie Sangster",85,,,,,,,,,,,
"DUBLIN CITY (IRE)",2020,GELDING,"WALK IN THE PARK (IRE)","JOLUCY (IRE)","Julian Smith",,,,,,,,,,80,,
"DUBLIN TO MILAN (IRE)",2019,GELDING,"MILAN (GB)","GLENLOGAN (IRE)","Clive Boultbee-Brooks",,,,,,,78,,,81,,
"DUBLINOFFICECALLIN (GB)",2021,GELDING,"FRAMMASSONE (IRE)","MIL ET UNE NUI FLO (FR)","Kerry Lee",,,,,,,,,,89,,
"DUC DE KENT (FR)",2020,GELDING,"ZELZAL (FR)","PUBLIC RANSOM (IRE)","Ian Williams",73,-4,,,,,,,,,,
"DUCHESS (FR)",2019,FILLY,"THE GREY GATSBY (IRE)","QUEEN TO BE (IRE)","John Berry",53,,,,,,,,,,,
"DUCHESS T (GB)",2023,FILLY,"BOBBY'S KITTEN (USA)","SACRED SPRITE (GB)",,52,,,,,,,,,,,
"DUE DATE (GB)",2020,GELDING,"DUE DILIGENCE (USA)","HARRYANA TO (GB)","Charlie Wallis",56,,,,,,,,,,,
"DUE DESTINY (GB)",2023,FILLY,"DUE DILIGENCE (USA)","DAVID'S DUCHESS (IRE)",,40,,,,,,,,,,,
"DUE RESPECT (IRE)",2022,FILLY,"SOLDIER'S CALL (GB)","DUE CARE (GB)","Gary Rutherford",50,+5,,,,,,,,,,
"DUE TO HENRY (GB)",2021,GELDING,"DUE DILIGENCE (USA)","RIVAS RHAPSODY (IRE)","Eve Johnson Houghton",77,,,,,,,,,,,
"DUE TO SHINE (GB)",2023,FILLY,"DUE DILIGENCE (USA)","SHINE BABY SHINE (GB)","Brian Ellison",46,,,,,,,,,,,
"DUEL AU SOLEIL (FR)",2020,GELDING,"IVANHOWE (GER)","DABARATSA (FR)","Ben Pauling",,,,,,,110,,,,,
"DUFFRY TRIXS (IRE)",2019,GELDING,"MAHLER (GB)","MIRACLE TRIX (IRE)","Richard Bandey",,,,,,,,,,117,,
"DUFFUS CASTLE (GB)",2022,GELDING,"ADAAY (IRE)","CAMELOPARDALIS (GB)",,50,,,,,,,,,,,
"DUHALLOW TOMMY (IRE)",2018,GELDING,"DYLAN THOMAS (IRE)","GRANNIE LIZ (IRE)","Nick Gifford",,,,,,,110,,,,,
"DUIDIN (IRE)",2024,COLT,"COTAI GLORY (GB)","FIRELIGHT CITY (IRE)",,87,,,,,,,,,,,
"DUKE OF BURGUNDY (GB)",2024,COLT,"BELARDO (IRE)","FLYING NORTH (GB)","Richard Hannon",75,,,,,,,,,,,
"DUKE OF LUCKLEY (IRE)",2017,GELDING,"MAHLER (GB)","EMILY'S PRINCESS (IRE)","Martin Keighley",,,,,,,122,,,116,new,
"DUKE OF OXFORD (GB)",2020,GELDING,"KINGMAN (GB)","MISS MARJURIE (IRE)","Michael Bell",102,,,,,,,,,,,
"DUKE ORSINO (GB)",2022,GELDING,"NO NAY NEVER (USA)","FOOLS IN LOVE (USA)","J. R. Jenkins",43,,,,,,,,,,,
"DUKE'S COMMAND (GB)",2021,GELDING,"DUBAWI (IRE)","HOW (IRE)","David O'Meara",89,,,,,,,,,,,
"DUMFRIES (GB)",2020,GELDING,"CITYSCAPE (GB)","MILLDALE (GB)","Ruth Carr",54,-1,,,,,,,,,,
"DUMUJI (GB)",2023,COLT,"HAVANA GREY (GB)","KALFU (GB)","Clive Cox",75,-2,,,,,,,,,,
"DUN EIDEANN (GB)",2024,FILLY,"TERRITORIES (IRE)","HUNTERWALI (GB)","Tom Dascombe",60,,,,,,,,,,,
"DUNADEN ISLAND (GB)",2018,FILLY,"DUNADEN (FR)","ISLAND OF MEMORIES (IRE)",,,,,,,,,,,88,,
"DUNKELD DREAMER (IRE)",2023,FILLY,"COULSTY (IRE)","STARLIGHT DANCE (IRE)","K. R. Burke",81,,,,,,,,,,,
"DUNKERQUE (DEN)",2020,GELDING,"APPEL AU MAITRE (FR)","SILVER SEAS (DEN)","Jennie Candlish",,,,,,,128,,,,,
"DUNNET HEAD (IRE)",2018,GELDING,"SHOLOKHOV (IRE)","CHAMPAGNE RUBY (IRE)",,,,,,,,93,,,93,,
"DUNNINGTON LAD (IRE)",2020,GELDING,"CAMACHO (GB)","STREETLADY (USA)","Peter Winks",40,,,,,,,,,,,
"DUNSTALL STAR (GB)",2021,GELDING,"TELESCOPE (IRE)","TOUNGARA (FR)","Tom George",,,,,,,,,,103,,
"DUPONT CIRCLE (IRE)",2022,GELDING,"NO NAY NEVER (USA)","SPIRIT QUEEN (IRE)","Craig Benton",48,,,,,,,,,,,
"DURAJI (IRE)",2021,COLT,"DUBAWI (IRE)","NIGHTIME (IRE)","Richard Hughes",95,,,,,,,,,,,
"DURAN (IRE)",2021,GELDING,"INVINCIBLE SPIRIT (IRE)","DOLMA (FR)","Nigel Tinkler",78,,,,,,,,,,,
"DURHAM CASTLE (GB)",2021,GELDING,"HAVANA GREY (GB)","DUNDUNAH (USA)","Simon & Ed Crisford",90,,,,,,,,,,,
"DUSK DAMSEL (GB)",2023,FILLY,"TWILIGHT SON (GB)","VISALA (GB)","J. S. Moore",54,,,,,,,,,,,
"DUSKAURA (IRE)",2023,FILLY,"TWILIGHT SON (GB)","ROYAL SEAL (GB)","Tony Carroll",70,,,,,,,,,,,
"DUSKY DAYS (IRE)",2017,GELDING,"FLEMENSFIRTH (USA)","DAY'S OVER (GB)","James Moffatt",,,,,,,,,,92,,
"DUSKY SPYGLASS (GB)",2018,FILLY,"TELESCOPE (IRE)","DUSKY LORY (GB)","Mike Murphy",,,,,,,,,,77,,
"DUST COVER (GB)",2022,GELDING,"SHOWCASING (GB)","DUSTY DREAM (GB)","Ross Burdon",69,,,74,,,,,,,,
"DUTCH CORNER (IRE)",2021,GELDING,"GETAWAY (GER)","LIGHTNING BREEZE (IRE)","Dan Skelton",,,,,,,,,,117,,
"DUTCH DECOY (GB)",2017,GELDING,"DUTCH ART (GB)","THE TERRIER (GB)",,84,,,,,,,,,,,
"DUTCH FINALE (GB)",2022,GELDING,"DUTCH ART (GB)","ROSEBRIDE (GB)",,67,,,,,,,,,,,
"DUTCH KINGDOM (IRE)",2020,GELDING,"IFFRAAJ (GB)","KIYRA WELLS (IRE)","Jim Boyle",62,,,82,,,,,,,,
"DWIGHT K SCHRUTE (GB)",2019,GELDING,"CLOVIS DU BERLAIS (FR)","ARTOFMEN (FR)","Jamie Snowden",,,,,,,,,,113,,
"DWINDLING FUNDS (GB)",2021,GELDING,"INTRINSIC (GB)","KASHTAN (GB)","Jim Goldie",79,,,,,,,,,,,
"DYNAMITE DEFENSE (IRE)",2021,GELDING,"NATIONAL DEFENSE (GB)","MISSCOMPLACENT (GB)","Sarah-Jayne Davies",51,,,,,,78,,,78,,
"DYNO DAVE (IRE)",2018,GELDING,"MORES WELLS (GB)","CASTLEMYLES QUEEN (IRE)","Nicky Henderson",,,,,,,105,,,,,
"DYONISOS (FR)",2022,GELDING,"GOKEN (FR)","DENITZA (FR)","Ian Williams",88,,,,,,,,,,,
"DYRHOLAEY (FR)",2021,GELDING,"CITY LIGHT (FR)","AGUA DE MAR (FR)",,88,,,,,,,,,,,
"DYSANIA (IRE)",2015,GELDING,"CALIFET (FR)","SHE'S SUPERSONIC (IRE)",,,,,,,,69,,,,,
"EABHA (IRE)",2024,FILLY,"SPACE BLUES (IRE)","EBELIYA (IRE)","Eve Johnson Houghton",86,,,,,,,,,,,
"EAGER PUCCINI (GB)",2022,GELDING,"BATED BREATH (GB)","MADAME BUTTERFLY (IRE)",,42,,,,,,,,,,,
"EAGLE BAY (GB)",2023,GELDING,"CABLE BAY (IRE)","FONDIE (IRE)","Harriet Bethell",85,,,,,,,,,,,
"EAGLE DAY (IRE)",2020,GELDING,"KODIAC (GB)","RAMONE (IRE)","David Evans",60,,,65,,,,,,,,
"EAGLE LANDED (GB)",2021,GELDING,"CHARM SPIRIT (IRE)","VERBA (FR)","J. R. Jenkins",40,,,,,,,,,,,
"EAGLE ONE (GB)",2018,GELDING,"GLENEAGLES (IRE)","GLORYETTE (GB)","Nigel & Willy Twiston-Davies",58,,,,,,,,,,,
"EAGLE'S CAIRN (IRE)",2020,GELDING,"WINGS OF EAGLES (FR)","STEIN CASTLE (IRE)","N. W. Alexander",,,,,,,,,,95,,
"EAGLES ATTIRE (IRE)",2023,GELDING,"GLENEAGLES (IRE)","FASHION STATEMENT (GB)","Oliver Cole",74,,,,,,,,,,,
"EAGLES DREAM (IRE)",2022,FILLY,"FREE EAGLE (IRE)","DREAM DAY (GB)","Tristan Davidson",58,,,,,,,,,,,
"EAGLES REPRIEVE (IRE)",2021,GELDING,"WINGS OF EAGLES (FR)","OSCAR'S REPRIEVE (IRE)","Lucinda Russell & Michael Scudamore",,,,,,,,,,120,,
"EAGLES ROCK (IRE)",2018,GELDING,"CONDUIT (IRE)","INSANITY OF LOVE (IRE)","M. Cregan",,,,,,,112,,,,,
"EAGLES WHISTLE (IRE)",2020,FILLY,"FREE EAGLE (IRE)","NANNYS WELL (IRE)","Joey Ramsden",59,,,,,,,,,,,
"EARLOFBRACKENSTOWN (IRE)",2019,GELDING,"MOUNT NELSON (GB)","EVA'S LEGACY (IRE)",,,,,,,,73,,,73,,
"EARLY RELEASE (GB)",2022,GELDING,"SERGEI PROKOFIEV (CAN)","EVENING STARLIGHT (GB)","David Evans",70,,,,,,,,,,,
"EARNEST BELIEF (IRE)",2022,GELDING,"MASTERCRAFTSMAN (IRE)","PROMISE ME (IRE)","Donald McCain",72,,,,,,,,,103,,
"EARTH KING (IRE)",2016,GELDING,"SHIROCCO (GER)","BEACH BEAUTY (IRE)","Neil Mulholland",,,,,,,,,,120,,
"EARTH SHOT (IRE)",2023,FILLY,"TIME TEST (GB)","PRECIOUS RAMOTSWE (GB)","William Haggas",109,,,,,,,,,,,
"EARTHA (GB)",2022,FILLY,"LAND FORCE (IRE)","BIMBO (GB)",,60,,,,,,,,,,,
"EAST EAGLE (IRE)",2020,GELDING,"WINGS OF EAGLES (FR)","ASK SUTTON (IRE)","Mike Sowersby",,,,,,,,,,93,,
"EAST END GIRL (GB)",2017,FILLY,"YOUMZAIN (IRE)","BERMONDSEY GIRL (GB)",,62,,,,,,,,,89,,
"EAST INDIA BREEZE (IRE)",2023,GELDING,"SEA THE MOON (GER)","BRACING BREEZE (GB)",,44,,,,,,,,,,,
"EAST INDIA EXPRESS (IRE)",2019,GELDING,"MILAN (GB)","ROZTOC (IRE)","Nicky Henderson",,,,,,,,,,135,,
"EAST TYRONE (IRE)",2022,GELDING,"MEHMAS (IRE)","TUILERIES GARDEN (IRE)","Philip Kirby",44,,,,,,,,,,,
"EASTER ICON (GB)",2019,GELDING,"SIXTIES ICON (GB)","VIVE MA FILLE (GER)","Gary Brown",65,,,,,,,,,103,,
"EASTER SUNDAE (GB)",2019,GELDING,"POLISH POWER (GER)","MY STROPPY POPPY (GB)",,44,,,,,,,,,,,
"EASTERN SHORES (GB)",2020,FILLY,"JET AWAY (GB)","GALE FORCE LUCEY (IRE)","Fergal O'Brien",,,,,,,,,,94,,
"EASTERN STORM (GB)",2020,GELDING,"TELESCOPE (IRE)","WATCH THE WIND (GB)","James Walton",,,,,,,69,,,69,,
"EASTERN VEIL (GB)",2023,FILLY,"BANGKOK (IRE)","SNEAKY PEEK (GB)","Andrew Balding",74,,,,,,,,,,,
"EASTSTONE BUCK'S (GB)",2021,GELDING,"BUCK'S BOUM (FR)","LADY CHARTREUSE (IRE)","Venetia Williams",,,,,,,,,,77,,
"EASWRITH DESTINY (GB)",2023,GELDING,"LEADING LIGHT (IRE)","SAUCY SALLY (IRE)","David Menuisier",68,,,,,,,,,,,
"EASY ANSWER (IRE)",2024,COLT,"NO NAY NEVER (USA)","EASILY (IRE)","Michael Bell",76,new,,,,,,,,,,
"EASY LOVE (IRE)",2020,FILLY,"SPANISH MOON (USA)","COSAVITA (FR)","Anthony Honeyball",,,,,,,,,,116,,
"EASY PEELER (GB)",2022,FILLY,"DUE DILIGENCE (USA)","SATSUMA (GB)",,83,,,,,,,,,,,
"EASY TO FOLLOW (IRE)",2018,FILLY,"ARCADIO (GER)","WINGS AT DAWN (IRE)","Olly Murphy",,,,,,,105,,,108,,
"EATON ANNE (IRE)",2018,GELDING,"GOLDEN LARIAT (USA)","EXPRESS MAIL (IRE)",,,,,,,,107,,,107,,
"EAZY ON THE EYE (GB)",2022,FILLY,"EXPERT EYE (GB)","YAA MOUS (GB)","Heather Main",71,,,,,,,,,,,
"EBEN AL KHAWANEEJ (IRE)",2023,COLT,"CAMELOT (GB)","ARABIAN DREAM (GB)",,72,,,,,,,,,,,
"EBENDI (IRE)",2017,GELDING,"LE HAVRE (IRE)","EBALISTA (IRE)",,42,,,,,,,,,,,
"EBN SABT (GB)",2023,GELDING,"ARDAD (IRE)","SCENESETTER (IRE)","Ben Lund",55,,,,,,,,,,,
"EBONY MAW (GB)",2017,GELDING,"IFFRAAJ (GB)","SKIRRID (GB)","Ewan Whillans",54,,,,,,,,,,,
"EBONY WARRIOR (IRE)",2018,GELDING,"SHOLOKHOV (IRE)","THREE WOOD (IRE)","David Killahena & Graeme McPherson",,,,,,,,,,116,,
"EBSELYSEES (GB)",2019,FILLY,"CHAMPS ELYSEES (GB)","EBATANA (IRE)","Susan Corbett",,,,,,,,,,101,,
"EBT'S GUARD (GB)",2021,GELDING,"CABLE BAY (IRE)","WHIMS OF DESIRE (GB)","William Muir & Chris Grassick",102,,,,,,,,,,,
"ECCLEFECHAN (GB)",2023,GELDING,"BATED BREATH (GB)","BAHIA STAR (GB)","John Ryan",63,,,,,,,,,,,
"ECHALAR (IRE)",2022,GELDING,"TOO DARN HOT (GB)","ROCANA (GB)","Ian Williams",76,+4,,,,,,,,,,
"ECHO OF FAITH (IRE)",2023,GELDING,"LUCKY VEGA (IRE)","OH GRACE (IRE)","Charlie Wallis",72,,,,,,,,,,,
"ECHO OF STARS (IRE)",2023,COLT,"SEA THE STARS (IRE)","VALAIS GIRL (GB)","Oliver Cole",88,,,,,,,,,,,
"ECHO VALLEY (GB)",2023,FILLY,"KAMEKO (USA)","TABLE MOUNTAIN (GB)","Tom Symonds",51,,,,,,,,,,,
"ECO POWER BOY (IRE)",2021,GELDING,"ZOFFANY (IRE)","GRAVITY QUEEN (IRE)",,52,,,,,,,,,,,
"EDDAARI (GB)",2023,COLT,"NEW BAY (GB)","LUNEARIA (IRE)","Simon & Ed Crisford",81,,,,,,,,,,,
"EDDIE MY EAGLE (IRE)",2020,GELDING,"WINGS OF EAGLES (FR)","WESTERN SKYLARK (IRE)","Dan Horsford",,,,,,,,,,115,,
"EDE'IFFS ROCK (GB)",2018,FILLY,"SADDLER'S ROCK (IRE)","EDE'IFF (GB)",,,,,,,,122,,,,,
"EDELAK (IRE)",2022,GELDING,"ALMANZOR (FR)","EDELMIRA (IRE)","Dan Skelton",,,,,,,,,,124,,
"EDERGOLE'S GIFT (IRE)",2021,FILLY,"RELIABLE MAN (GB)","IRISHSTONE (IRE)","Conrad Allen",46,,,,,,,,,,,
"EDGEWATER DRIVE (IRE)",2021,GELDING,"DANDY MAN (IRE)","FASEEHA (IRE)","Wilf Storey",65,-1,collateral,,,,,,,,,
"EDGEWELL (IRE)",2018,GELDING,"WELL CHOSEN (GB)","ONE EDGE (IRE)","Nick Scholfield",,,,,,,94,-2,,,,
"EDITH PELHAM (GB)",2020,FILLY,"BLUE BRESIL (FR)","MIDNITE GRACE (GB)","Fergal O'Brien",,,,,,,,,,113,,
"EDMOND HALLEY (IRE)",2022,GELDING,"INNS OF COURT (IRE)","HALEY BOP (IRE)","Edward Bethell",57,,,,,,,,,,,
"EDNA E MODE (IRE)",2021,FILLY,"GLENEAGLES (IRE)","CONTREDANSE (IRE)",,,,,,,,,,,83,,
"EDUARDO CALDERON (IRE)",2023,GELDING,"SHAMAN (IRE)","DEIA GLORY (GB)","Harry Eustace",67,,,,,,,,,,,
"EDUCATE (GB)",2021,GELDING,"SEA THE STARS (IRE)","WORDLESS (IRE)","Micky Hammond",54,,,,,,,,,,,
"EDUCATING RITA (GB)",2022,FILLY,"BELARDO (IRE)","EXCEL AND SUCCEED (IRE)","Philip Kirby",68,-2,,,,,,,,,,
"EDUCATOR (GB)",2019,GELDING,"DEEP IMPACT (JPN)","DIPLOMA (GB)","Henrietta C Knight",75,,,,,,,,,,,
"EDWARD SEXTON (IRE)",2020,GELDING,"JUKEBOX JURY (IRE)","MINUTESTOMIDNIGHT (IRE)","Gary & Josh Moore",70,,,,,,,,,,,
"EDWARDSTONE (GB)",2014,GELDING,"KAYF TARA (GB)","NOTHINGTOLOOSE (IRE)",,,,,,,,158,,,,,
"EDWARDTHENINTH (GB)",2021,GELDING,"BATED BREATH (GB)","VOTE OFTEN (GB)","Tony Forbes",51,,,,,,,,,,,
"EDWIN HUBBLE (IRE)",2023,GELDING,"SPACE BLUES (IRE)","KALADENA (IRE)","Brian Meehan",80,,,,,,,,,,,
"EEETEE (IRE)",2018,GELDING,"FAST COMPANY (IRE)","CHIQUITA PICOSA (USA)","John Wainwright",59,,,53,,,,,,,,
"EEVEE STAR (GB)",2024,FILLY,"SHOWCASING (GB)","CHOUX (IRE)","Edward Bethell",63,,,,,,,,,,,
"EFSIXTEEN (GB)",2024,FILLY,"HAVANA GREY (GB)","HOT SECRET (GB)","George Scott",88,new,,,,,,,,,,
"EGBERT (GB)",2017,GELDING,"PETHER'S MOON (IRE)","KARLA JUNE (GB)","Sandy Thomson",,,,,,,130,,,,,
"EGOISTE (USA)",2019,GELDING,"FLINTSHIRE (GB)","DENOMINATION (USA)",,63,,,,,,,,,,,
"EGOLI (GB)",2023,GELDING,"NO NAY NEVER (USA)","SOLAR GOLD (IRE)","Ralph Beckett",89,,,,,,,,,,,
"EGOTISTICAL (GB)",2023,FILLY,"ACCLAMATION (GB)","SELF CENTRED (GB)","Roger Varian",69,,,,,,,,,,,
"EGYPTIAN PHARAOH (GB)",2023,GELDING,"ULYSSES (IRE)","SIMPLY SHINING (IRE)",,78,,,,,,,,,,,
"EIGHTH IMMORTAL (IRE)",2024,COLT,"NAVAL CROWN (GB)","TARA CELEB (GB)","Jack Jones",77,,,,,,,,,,,
"EIGHTTHREEONE (GB)",2023,GELDING,"RUMBLE INTHEJUNGLE (IRE)","DOZEN (FR)","Eve Johnson Houghton",67,,,,,,,,,,,
"EIRE STREET (IRE)",2017,GELDING,"FLEMENSFIRTH (USA)","MISS XIAN (IRE)","Jackie Stephen",,,,,,,,,,84,,
"EITHER OR (IRE)",2018,FILLY,"AFFINISEA (IRE)","MADAME GROVE (IRE)",,,,,,,,110,,,110,,
"EKLLEEM (GB)",2023,GELDING,"NO NAY NEVER (USA)","STONE ROSES (FR)","William Haggas",87,,,,,,,,,,,
"EL ARCO (IRE)",2021,GELDING,"PILLAR CORAL (GB)","MAREENA (GB)",,,,,,,,,,,74,,
"EL BODON (IRE)",2021,GELDING,"CHURCHILL (IRE)","FLAWLESS JEWEL (FR)","Jane Chapple-Hyam",95,,,,,,,,,,,
"EL BUFALO (GB)",2021,GELDING,"HAVANA GREY (GB)","PRYERS PRINCESS (GB)","Thomas Faulkner",77,,,,,,,,,,,
"EL BURHAN (IRE)",2022,GELDING,"NEW BAY (GB)","SAR OICHE (IRE)","George Boughey",102,,,,,,,,,,,
"EL CAPITAINE (IRE)",2018,GELDING,"MAHLER (GB)","LADY OF THE HALL (IRE)","Kayley Woollacott",,,,,,,127,,,121,,
"EL CARRUSEL (GB)",2023,GELDING,"ADVERTISE (GB)","SMITTEN (GB)","John Ryan",45,-1,,,,,,,,,,
"EL CORDOBES (IRE)",2021,GELDING,"FRANKEL (GB)","BOLD LASS (IRE)","Charlie Appleby",116,,,,,,,,,,,
"EL CURAMACH (IRE)",2018,GELDING,"EL SALVADOR (IRE)","BI CURAMACH (IRE)",,,,,,,,,,,99,,
"EL FLORIDITA (GB)",2024,COLT,"HAVANA GREY (GB)","ASCOT JUNGLE (IRE)","Nigel Tinkler",98,,,,,,,,,,,
"EL FOX (GB)",2022,FILLY,"TIME TEST (GB)","AMERICAN ENDEAVOUR (USA)","Marco Botti",55,,,,,,,,,,,
"EL GALACTICO (IRE)",2020,GELDING,"HILLSTAR (GB)","GOLAN RIVER (IRE)","Neil Mulholland",,,,,,,,,,115,,
"EL GAVILAN (FR)",2021,GELDING,"GUIGNOL (GER)","LA JALOUSIE (FR)","Dan Skelton",,,,,,,,,,111,,
"EL GHAAWY (GB)",2022,GELDING,"GHAIYYATH (IRE)","SIGN OF LIFE (GB)",,50,,,,,,,,,,,
"EL GRANJERO (IRE)",2019,GELDING,"YOUMZAIN (IRE)","MEXICAN SKY (IRE)","Clive Boultbee-Brooks",,,,,,,132,,,,,
"EL JEFE (IRE)",2017,GELDING,"BORN TO SEA (IRE)","ROS MOUNTAIN (IRE)","Andrew Hamilton",,,,,,,,,,100,,
"EL LAMBO (IRE)",2024,GELDING,"COULSTY (IRE)","CONVERSATIONAL (IRE)","Charles Hills",70,-4,,,,,,,,,,
"EL LOCO (FR)",2023,GELDING,"ZARAK (FR)","KENCARLA (FR)","David Simcock",70,,,,,,,,,,,
"EL MATADOR (IRE)",2022,GELDING,"LOPE DE VEGA (IRE)","BULRUSHES (GB)","Ralph Beckett",89,,,,,,,,,,,
"EL MUCHACHO (IRE)",2017,GELDING,"WALK IN THE PARK (IRE)","LA SEGNORA (FR)","Mike Sowersby",,,,,,,93,,,,,
"EL NAY (IRE)",2023,GELDING,"PALACE PIER (GB)","ANGHAAM (IRE)","Tony Carroll",84,,,,,,,,,,,
"EL PINTO (GB)",2022,GELDING,"CRACKSMAN (GB)","BITHYNIA (IRE)","Christopher Kellett",56,,,,,,,,,,,
"EL ROJO GRANDE (IRE)",2017,GELDING,"OCOVANGO (GB)","MATT WOOD (IRE)","Katy Price",,,,,,,92,,,,,
"EL SAVIOUR (IRE)",2018,GELDING,"EL SALVADOR (IRE)","MORAY FIRTH (UAE)","A. J. Bealby",,,,,,,100,,,100,,
"ELAN D'OR (GB)",2023,COLT,"WITHOUT PAROLE (GB)","AS GOOD AS GOLD (IRE)","Stuart Williams",85,,,,,,,,,,,
"ELARA MAY (GB)",2023,FILLY,"BATED BREATH (GB)","MANATIYA (FR)","Philip McBride",85,,,,,,,,,,,
"ELARAK (GB)",2022,GELDING,"KINGMAN (GB)","TANTHEEM (GB)","Charles Hills",105,,,,,,,,,,,
"ELASHGAR (IRE)",2023,GELDING,"SUPREMACY (IRE)","LOVE IN THE DESERT (GB)","Kevin & Lauren Frost",51,,,,,,,,,,,
"ELATED (GB)",2021,FILLY,"PASSING GLANCE (GB)","JET SET (IRE)","Ben Pauling",,,,,,,,,,98,,
"ELDEYAAR (IRE)",2019,GELDING,"SLADE POWER (IRE)","WARDAT DUBAI (GB)","Antony Brittain",48,,,,,,,,,,,
"ELDRICKJONES (IRE)",2019,GELDING,"COTAI GLORY (GB)","DREAM IMPOSSIBLE (IRE)",,82,,,,,,,,,,,
